recorte,partidas,gols_mandante,gols_visitante,gols_por_jogo,vitoria_mandante_pct,empate_pct,vitoria_visitante_pct,over_25_pct,ambas_marcam_pct
2012 a 2025,5319,1.4213,0.9656,2.3869,48.5242,26.8472,24.6287,43.2976,47.7345
2026 (em andamento),277,1.5199,1.148,2.6679,46.9314,27.7978,25.2708,51.6245,59.5668
