Home,Away,lambda_mandante,lambda_visitante,prob_H,prob_D,prob_A,gols_esperados_mandante,gols_esperados_visitante,gols_esperados_total,prob_over_25,prob_under_25,prob_ambas_marcam,prob_mandante_marca,prob_visitante_marca,placar_mais_provavel,prob_placar_mais_provavel,cotacao_minima_H,cotacao_minima_D,cotacao_minima_A,cotacao_minima_over_25,cotacao_minima_ambas_marcam,favorito
Remo,Botafogo RJ,1.24659,1.5081,0.31549,0.24989,0.43462,1.24659,1.50809,2.75468,0.51968,0.48032,0.55341,0.71252,0.77867,1-1,0.11822,3.16969,4.00169,2.30087,1.92428,1.80698,Botafogo RJ
Remo,Bragantino,1.36049,1.33907,0.37728,0.25531,0.36741,1.36049,1.33907,2.69956,0.50627,0.49373,0.54717,0.74346,0.73791,1-1,0.12105,2.65055,3.91681,2.72176,1.97524,1.82758,Remo
Remo,Chapecoense-SC,1.88524,1.07539,0.56403,0.22116,0.21481,1.8852,1.07539,2.96059,0.56793,0.43207,0.55759,0.84821,0.65883,1-1,0.10376,1.77295,4.52161,4.65529,1.76078,1.79342,Remo
Remo,Corinthians,1.22785,1.26135,0.35817,0.26767,0.37417,1.22785,1.26135,2.4892,0.45341,0.54659,0.50527,0.70708,0.71673,1-1,0.127,2.792,3.73596,2.67262,2.20549,1.97912,Corinthians
Remo,Gremio,1.39572,1.3664,0.38072,0.25194,0.36734,1.39572,1.3664,2.76212,0.52147,0.47853,0.55907,0.75235,0.74498,1-1,0.11903,2.62661,3.96919,2.72226,1.91766,1.7887,Remo
Santos,Bahia,1.5234,1.18286,0.45267,0.25069,0.29664,1.5234,1.18286,2.70625,0.50791,0.49209,0.541,0.78203,0.6936,1-1,0.11893,2.2091,3.98898,3.37113,1.96886,1.84842,Santos
Santos,Botafogo RJ,1.36694,1.24031,0.39965,0.25992,0.34043,1.36694,1.24031,2.60725,0.48339,0.51661,0.52809,0.74511,0.71071,1-1,0.12355,2.50219,3.84733,2.93746,2.06873,1.89362,Santos
Santos,Flamengo RJ,1.13209,1.57777,0.27456,0.24749,0.47795,1.13209,1.57777,2.70986,0.50879,0.49121,0.53636,0.67764,0.79357,1-1,0.11747,3.64223,4.04052,2.09227,1.96545,1.86443,Flamengo RJ
Santos,Gremio,1.53047,1.12378,0.46796,0.25162,0.28042,1.53046,1.12378,2.65424,0.4951,0.5049,0.52745,0.78357,0.67495,1-1,0.11958,2.13694,3.9742,3.5661,2.01979,1.89593,Santos
Santos,Palmeiras,1.0286,1.45074,0.26929,0.26106,0.46965,1.0286,1.45073,2.47934,0.45088,0.54912,0.49043,0.64249,0.7656,1-1,0.12358,3.71345,3.83056,2.12925,2.2179,2.03904,Palmeiras
Sao Paulo,Corinthians,1.28373,0.86896,0.46267,0.28366,0.25366,1.28373,0.86896,2.15269,0.36457,0.63543,0.41826,0.723,0.58061,1-0,0.15065,2.16136,3.5253,3.94221,2.74293,2.39086,Sao Paulo
Sao Paulo,Fluminense,1.26688,0.96451,0.4346,0.28147,0.28393,1.26688,0.96451,2.23139,0.38569,0.61431,0.44296,0.71829,0.61883,1-0,0.13758,2.30095,3.55284,3.52197,2.59275,2.25755,Sao Paulo
Sao Paulo,Remo,1.81827,0.85437,0.60292,0.22346,0.17362,1.81824,0.85437,2.67261,0.49965,0.50035,0.47995,0.83769,0.57445,1-0,0.12685,1.65859,4.47516,5.75964,2.00141,2.08354,Sao Paulo
Sao Paulo,Santos,1.49541,0.93686,0.50364,0.25844,0.23792,1.4954,0.93686,2.43226,0.4387,0.5613,0.47038,0.77584,0.60814,1-0,0.1328,1.98555,3.8694,4.20304,2.27948,2.12595,Sao Paulo
Sao Paulo,Vasco,1.64344,0.92661,0.54364,0.24298,0.21339,1.64343,0.92661,2.57004,0.47403,0.52597,0.48596,0.80669,0.60411,1-0,0.12714,1.83946,4.11563,4.68633,2.10959,2.0578,Sao Paulo
Sao Paulo,Vitoria,1.55683,0.77656,0.56035,0.25201,0.18763,1.55682,0.77656,2.33338,0.41279,0.58721,0.4248,0.7892,0.54002,1-0,0.15234,1.78459,3.96806,5.32953,2.42251,2.35404,Sao Paulo
Vasco,Corinthians,1.33167,1.14007,0.41216,0.26731,0.32053,1.33167,1.14007,2.47174,0.44892,0.55108,0.4991,0.73596,0.6802,1-1,0.12669,2.42626,3.74096,3.11981,2.22758,2.00361,Vasco
Vasco,Flamengo RJ,1.11972,1.73396,0.24672,0.23447,0.51881,1.11972,1.73394,2.85365,0.54324,0.45676,0.55336,0.67363,0.82342,1-1,0.11058,4.0532,4.265,1.92747,1.8408,1.80714,Flamengo RJ
Vasco,Internacional,1.38,1.21171,0.40926,0.26035,0.33039,1.38,1.21171,2.59171,0.47949,0.52051,0.52415,0.74842,0.70231,1-1,0.12376,2.44342,3.84102,3.02672,2.08556,1.90783,Vasco
Vasco,Remo,1.88618,1.12093,0.55354,0.22159,0.22487,1.88613,1.12093,3.00706,0.5784,0.4216,0.57058,0.84835,0.67402,1-1,0.10329,1.80656,4.51284,4.44699,1.72891,1.7526,Vasco
Vasco,Vitoria,1.61497,1.01885,0.51399,0.24564,0.24037,1.61496,1.01885,2.6338,0.49003,0.50997,0.51051,0.8011,0.63899,1-0,0.11735,1.94556,4.07104,4.16022,2.04071,1.95883,Vasco
Vitoria,Athletico-PR,1.12736,1.18138,0.34678,0.27981,0.37341,1.12736,1.18138,2.30874,0.40628,0.59372,0.46709,0.67611,0.69314,1-1,0.13081,2.88371,3.57383,2.678,2.46137,2.14092,Athletico-PR
Vitoria,Bragantino,1.23659,1.14653,0.38473,0.27435,0.34092,1.23659,1.14653,2.38312,0.42587,0.57413,0.48262,0.70963,0.68226,1-1,0.12927,2.59926,3.64495,2.93322,2.34811,2.07204,Vitoria
Vitoria,Chapecoense-SC,1.71355,0.92076,0.56203,0.23566,0.20231,1.71353,0.92076,2.63429,0.49015,0.50985,0.492,0.81977,0.60178,1-0,0.12431,1.77928,4.2434,4.9428,2.0402,2.03253,Vitoria
Vitoria,Fluminense,1.10138,1.19874,0.33589,0.28014,0.38397,1.10138,1.19874,2.30012,0.40399,0.59601,0.46471,0.66759,0.69843,1-1,0.1308,2.97714,3.56962,2.6044,2.47529,2.1519,Fluminense
Vitoria,Santos,1.30005,1.16437,0.39824,0.26853,0.33322,1.30005,1.16437,2.46442,0.44703,0.55297,0.49891,0.72748,0.68788,1-1,0.12724,2.51103,3.72392,3.00099,2.23699,2.00437,Vitoria
